sample,rotation,seat,hero,new_ai,rank,archetype,core_pivots,tier,anomaly,trinkets_mode,rounds
100,0,1,rat_king,False,6,诈骗犯扩容海盗,0,6,prudence,True,23
100,0,2,wagtoggle,True,1,空中海盗跳操,9,6,prudence,True,23
100,0,3,kragg,False,3,野兽召唤,0,6,prudence,True,23
100,0,4,gallywix,True,7,诈骗犯扩容海盗,4,5,prudence,True,23
100,0,5,omu,False,5,永久增益龙,0,6,prudence,True,23
100,0,6,guff,True,8,霍格买卖海盗,8,5,prudence,True,23
100,0,7,ragnaros,False,2,法术增益龙,0,6,prudence,True,23
100,0,8,alakir,True,4,受伤成长野兽,13,6,prudence,True,23
100,1,1,rat_king,True,5,空中海盗跳操,6,6,prudence,True,19
100,1,2,wagtoggle,False,4,永恒骑士亡灵,0,6,prudence,True,19
100,1,3,kragg,True,2,空中海盗跳操,11,6,prudence,True,19
100,1,4,gallywix,False,8,全局加攻亡灵,0,5,prudence,True,19
100,1,5,omu,True,7,全局加攻亡灵,1,4,prudence,True,19
100,1,6,guff,False,6,光牙混合,0,5,prudence,True,19
100,1,7,ragnaros,True,1,磁力复制机械,3,6,prudence,True,19
100,1,8,alakir,False,3,光牙混合,0,6,prudence,True,19
101,0,1,nzoth,True,7,跳蛙亡语野兽,3,5,factory_line,False,21
101,0,2,edwin,False,5,受伤成长野兽,0,6,factory_line,False,21
101,0,3,cthun,True,2,特塞斯买卖海盗,8,6,factory_line,False,21
101,0,4,deathwing,False,4,空中海盗跳操,0,6,factory_line,False,21
101,0,5,patchwerk,True,1,宰割复生亡灵,11,6,factory_line,False,21
101,0,6,pyramad,False,3,磁力圣盾机械,0,6,factory_line,False,21
101,0,7,jaraxxus,True,8,跳蛙亡语野兽,3,5,factory_line,False,21
101,0,8,yogg,False,6,野兽召唤,0,5,factory_line,False,21
101,1,1,nzoth,False,3,空中海盗跳操,0,6,factory_line,False,19
101,1,2,edwin,True,6,全局加攻亡灵,6,6,factory_line,False,19
101,1,3,cthun,False,2,回合成长龙,0,6,factory_line,False,19
101,1,4,deathwing,True,4,买卖成长海盗,5,6,factory_line,False,19
101,1,5,patchwerk,False,7,全局加攻亡灵,0,5,factory_line,False,19
101,1,6,pyramad,True,5,空中海盗跳操,5,6,factory_line,False,19
101,1,7,jaraxxus,False,8,买卖成长海盗,0,4,factory_line,False,19
101,1,8,yogg,True,1,跳蛙亡语野兽,10,6,factory_line,False,19
102,0,1,george,False,3,娜拉法术混合,0,6,no_face_no_case,True,16
102,0,2,millificent,True,2,灵活过渡,5,6,no_face_no_case,True,16
102,0,3,kaelthas,False,4,野兽召唤,0,6,no_face_no_case,True,16
102,0,4,deryl,True,8,磁力圣盾机械,4,4,no_face_no_case,True,16
102,0,5,snake_eyes,False,7,永久增益龙,0,5,no_face_no_case,True,16
102,0,6,taethelan,True,1,受伤成长野兽,6,6,no_face_no_case,True,16
102,0,7,hollidae,False,5,特塞斯买卖海盗,0,6,no_face_no_case,True,16
102,0,8,king_laohan,True,6,买卖成长海盗,5,6,no_face_no_case,True,16
102,1,1,george,True,1,跳蛙亡语野兽,12,6,no_face_no_case,True,19
102,1,2,millificent,False,2,回合末磁力机械,0,6,no_face_no_case,True,19
102,1,3,kaelthas,True,3,跳蛙亡语野兽,7,6,no_face_no_case,True,19
102,1,4,deryl,False,7,受伤成长野兽,0,6,no_face_no_case,True,19
102,1,5,snake_eyes,True,6,全局加攻亡灵,6,6,no_face_no_case,True,19
102,1,6,taethelan,False,8,原创法术龙,0,5,no_face_no_case,True,19
102,1,7,hollidae,True,4,伊丽扎攻击海盗,10,6,no_face_no_case,True,19
102,1,8,king_laohan,False,5,霍格买卖海盗,0,6,no_face_no_case,True,19
103,0,1,nozdormu,True,6,空中海盗跳操,7,6,instant_warband,False,21
103,0,2,alexstrasza,False,2,吞食成长恶魔,0,6,instant_warband,False,21
103,0,3,patches,True,8,手牌合唱鱼人,3,5,instant_warband,False,21
103,0,4,lich_king,False,1,受伤成长野兽,0,6,instant_warband,False,21
103,0,5,teron,True,7,获牌成长海盗,2,5,instant_warband,False,21
103,0,6,rat_king,False,5,受伤成长野兽,0,6,instant_warband,False,21
103,0,7,wagtoggle,True,3,跳蛙亡语野兽,14,6,instant_warband,False,21
103,0,8,kragg,False,4,娜拉法术混合,0,6,instant_warband,False,21
103,1,1,nozdormu,False,3,永久增益龙,0,6,instant_warband,False,16
103,1,2,alexstrasza,True,1,自伤成长恶魔,10,6,instant_warband,False,16
103,1,3,patches,False,2,空中海盗跳操,0,6,instant_warband,False,16
103,1,4,lich_king,True,8,灵活过渡,4,5,instant_warband,False,16
103,1,5,teron,False,7,娜拉法术混合,0,6,instant_warband,False,16
103,1,6,rat_king,True,6,跳蛙亡语野兽,2,6,instant_warband,False,16
103,1,7,wagtoggle,False,5,永久增益龙,0,6,instant_warband,False,16
103,1,8,kragg,True,4,全局加攻亡灵,8,6,instant_warband,False,16
104,0,1,gallywix,False,7,永久增益龙,0,5,off,True,15
104,0,2,omu,True,4,宰割复生亡灵,2,6,off,True,15
104,0,3,guff,False,2,手牌培育鱼人,0,6,off,True,15
104,0,4,ragnaros,True,3,伊丽扎攻击海盗,3,6,off,True,15
104,0,5,alakir,False,8,回合成长龙,0,4,off,True,15
104,0,6,nzoth,True,6,诈骗犯扩容海盗,2,5,off,True,15
104,0,7,edwin,False,5,光牙混合,0,5,off,True,15
104,0,8,cthun,True,1,空中海盗跳操,18,6,off,True,15
104,1,1,gallywix,True,7,诈骗犯扩容海盗,2,5,off,True,17
104,1,2,omu,False,8,全局加攻亡灵,0,4,off,True,17
104,1,3,guff,True,1,喷子亡语恶魔,5,6,off,True,17
104,1,4,ragnaros,False,2,霍格买卖海盗,0,6,off,True,17
104,1,5,alakir,True,5,灵活过渡,4,5,off,True,17
104,1,6,nzoth,False,4,回合成长龙,0,6,off,True,17
104,1,7,edwin,True,6,野兽召唤,68,5,off,True,17
104,1,8,cthun,False,3,空中海盗跳操,0,6,off,True,17
105,0,1,deathwing,True,7,跳蛙亡语野兽,7,6,refresh,False,19
105,0,2,patchwerk,False,6,受伤成长野兽,0,6,refresh,False,19
105,0,3,pyramad,True,1,复生永久成长亡灵,6,6,refresh,False,19
105,0,4,jaraxxus,False,4,野兽召唤,0,6,refresh,False,19
105,0,5,yogg,True,5,跳蛙亡语野兽,5,6,refresh,False,19
105,0,6,george,False,8,受伤成长野兽,0,5,refresh,False,19
105,0,7,millificent,True,2,跳蛙亡语野兽,11,6,refresh,False,19
105,0,8,kaelthas,False,3,霍格买卖海盗,0,6,refresh,False,19
105,1,1,deathwing,False,8,永久增益龙,0,5,refresh,False,17
105,1,2,patchwerk,True,4,宰割复生亡灵,9,6,refresh,False,17
105,1,3,pyramad,False,6,空中海盗跳操,0,6,refresh,False,17
105,1,4,jaraxxus,True,7,跳蛙亡语野兽,3,5,refresh,False,17
105,1,5,yogg,False,5,受伤成长野兽,0,6,refresh,False,17
105,1,6,george,True,1,跳蛙亡语野兽,10,6,refresh,False,17
105,1,7,millificent,False,3,空中海盗跳操,0,6,refresh,False,17
105,1,8,kaelthas,True,2,全局加攻亡灵,11,6,refresh,False,17
106,0,1,deryl,False,6,全局加攻亡灵,0,5,crowded,True,16
106,0,2,snake_eyes,True,2,受伤成长野兽,10,6,crowded,True,16
106,0,3,taethelan,False,1,回合末磁力机械,0,6,crowded,True,16
106,0,4,hollidae,True,5,永恒骑士亡灵,7,5,crowded,True,16
106,0,5,king_laohan,False,8,灵活过渡,0,4,crowded,True,16
106,0,6,nozdormu,True,7,全局加攻亡灵,2,4,crowded,True,16
106,0,7,alexstrasza,False,4,永久增益龙,0,6,crowded,True,16
106,0,8,patches,True,3,空中海盗跳操,7,6,crowded,True,16
106,1,1,deryl,True,6,买卖成长海盗,3,6,crowded,True,17
106,1,2,snake_eyes,False,5,受伤成长野兽,0,6,crowded,True,17
106,1,3,taethelan,True,1,宰割复生亡灵,10,6,crowded,True,17
106,1,4,hollidae,False,3,空中海盗跳操,0,6,crowded,True,17
106,1,5,king_laohan,True,7,跳蛙亡语野兽,6,6,crowded,True,17
106,1,6,nozdormu,False,2,受伤成长野兽,0,6,crowded,True,17
106,1,7,alexstrasza,True,4,手牌合唱鱼人,9,6,crowded,True,17
106,1,8,patches,False,8,全局加攻亡灵,0,5,crowded,True,17
107,0,1,lich_king,True,3,复生永久成长亡灵,4,6,seventh_reward,False,14
107,0,2,teron,False,2,娜拉法术混合,0,6,seventh_reward,False,14
107,0,3,rat_king,True,5,跳蛙亡语野兽,3,5,seventh_reward,False,14
107,0,4,wagtoggle,False,4,灵活过渡,0,6,seventh_reward,False,14
107,0,5,kragg,True,6,空中海盗跳操,0,5,seventh_reward,False,14
107,0,6,gallywix,False,1,永恒骑士亡灵,0,6,seventh_reward,False,14
107,0,7,omu,True,7,永久增益龙,1,4,seventh_reward,False,14
107,0,8,guff,False,8,买卖成长海盗,0,3,seventh_reward,False,14
107,1,1,lich_king,False,1,野兽召唤,0,6,seventh_reward,False,12
107,1,2,teron,True,4,灵活过渡,0,5,seventh_reward,False,12
107,1,3,rat_king,False,6,诈骗犯扩容海盗,0,4,seventh_reward,False,12
107,1,4,wagtoggle,True,7,灵活过渡,1,4,seventh_reward,False,12
107,1,5,kragg,False,3,光牙混合,0,5,seventh_reward,False,12
107,1,6,gallywix,True,2,吞食成长恶魔,4,6,seventh_reward,False,12
107,1,7,omu,False,5,灵活过渡,0,4,seventh_reward,False,12
107,1,8,guff,True,8,买卖成长海盗,0,3,seventh_reward,False,12
108,0,1,ragnaros,False,3,灵活过渡,0,7,norgannon,True,18
108,0,2,alakir,True,7,诈骗犯扩容海盗,6,5,norgannon,True,18
108,0,3,nzoth,False,5,受伤成长野兽,0,6,norgannon,True,18
108,0,4,edwin,True,6,全局加攻亡灵,4,5,norgannon,True,18
108,0,5,cthun,False,4,空中海盗跳操,0,6,norgannon,True,18
108,0,6,deathwing,True,1,复生永久成长亡灵,12,7,norgannon,True,18
108,0,7,patchwerk,False,8,光牙混合,0,5,norgannon,True,18
108,0,8,pyramad,True,2,空中海盗跳操,10,7,norgannon,True,18
108,1,1,ragnaros,True,1,磁力复制机械,7,7,norgannon,True,20
108,1,2,alakir,False,6,永久增益龙,0,6,norgannon,True,20
108,1,3,nzoth,True,8,受伤成长野兽,3,5,norgannon,True,20
108,1,4,edwin,False,7,霍格买卖海盗,0,5,norgannon,True,20
108,1,5,cthun,True,2,磁力圣盾机械,6,7,norgannon,True,20
108,1,6,deathwing,False,3,永久增益龙,0,7,norgannon,True,20
108,1,7,patchwerk,True,4,买卖成长海盗,6,6,norgannon,True,20
108,1,8,pyramad,False,5,空中海盗跳操,0,6,norgannon,True,20
109,0,1,jaraxxus,True,8,跳蛙亡语野兽,3,5,might,False,20
109,0,2,yogg,False,3,法术增益龙,0,6,might,False,20
109,0,3,george,True,1,受伤成长野兽,8,6,might,False,20
109,0,4,millificent,False,2,光牙混合,0,6,might,False,20
109,0,5,kaelthas,True,7,买卖成长海盗,1,6,might,False,20
109,0,6,deryl,False,6,娜拉法术混合,0,6,might,False,20
109,0,7,snake_eyes,True,5,空中海盗跳操,7,6,might,False,20
109,0,8,taethelan,False,4,全局加攻亡灵,0,6,might,False,20
109,1,1,jaraxxus,False,8,小瞎眼回合末战吼,0,5,might,False,16
109,1,2,yogg,True,2,诈骗犯扩容海盗,14,6,might,False,16
109,1,3,george,False,1,自伤成长恶魔,0,6,might,False,16
109,1,4,millificent,True,5,空中海盗跳操,5,6,might,False,16
109,1,5,kaelthas,False,6,空中海盗跳操,0,6,might,False,16
109,1,6,deryl,True,7,空中海盗跳操,7,6,might,False,16
109,1,7,snake_eyes,False,4,野兽召唤,0,6,might,False,16
109,1,8,taethelan,True,3,受伤成长野兽,6,6,might,False,16
110,0,1,hollidae,False,2,手牌合唱鱼人,0,6,fortitude,True,15
110,0,2,king_laohan,True,5,获牌成长海盗,11,6,fortitude,True,15
110,0,3,nozdormu,False,6,回合成长龙,0,5,fortitude,True,15
110,0,4,alexstrasza,True,7,灵活过渡,4,5,fortitude,True,15
110,0,5,patches,False,1,空中海盗跳操,0,6,fortitude,True,15
110,0,6,lich_king,True,3,跳蛙亡语野兽,6,6,fortitude,True,15
110,0,7,teron,False,4,吞食成长恶魔,0,6,fortitude,True,15
110,0,8,rat_king,True,8,买卖成长海盗,3,5,fortitude,True,15
110,1,1,hollidae,True,5,跳蛙亡语野兽,5,6,fortitude,True,18
110,1,2,king_laohan,False,2,法术增益龙,0,6,fortitude,True,18
110,1,3,nozdormu,True,3,跳蛙亡语野兽,7,6,fortitude,True,18
110,1,4,alexstrasza,False,8,喷子亡语恶魔,0,3,fortitude,True,18
110,1,5,patches,True,7,买卖成长海盗,1,5,fortitude,True,18
110,1,6,lich_king,False,1,自伤成长恶魔,0,6,fortitude,True,18
110,1,7,teron,True,6,灵活过渡,1,5,fortitude,True,18
110,1,8,rat_king,False,4,永久增益龙,0,6,fortitude,True,18
111,0,1,wagtoggle,True,3,全局加攻亡灵,11,6,grapnel,False,17
111,0,2,kragg,False,6,灵活过渡,0,5,grapnel,False,17
111,0,3,gallywix,True,8,空中海盗跳操,5,4,grapnel,False,17
111,0,4,omu,False,4,受伤成长野兽,0,6,grapnel,False,17
111,0,5,guff,True,7,诈骗犯扩容海盗,8,5,grapnel,False,17
111,0,6,ragnaros,False,2,特塞斯买卖海盗,0,6,grapnel,False,17
