name,id,n,mean_rank,win_rate,top4_rate
炎魔之王拉格纳罗斯,ragnaros,43,1.9767441860465116,0.46511627906976744,0.9534883720930233
克苏恩,cthun,43,2.4186046511627906,0.3488372093023256,0.8837209302325582
瓦托格尔女王,wagtoggle,43,3.697674418604651,0.18604651162790697,0.5813953488372093
尤格-萨隆,yogg,43,3.8372093023255816,0.2558139534883721,0.5581395348837209
蛇眼,snake_eyes,43,3.8372093023255816,0.23255813953488372,0.4883720930232558
诺兹多姆,nozdormu,43,3.8372093023255816,0.18604651162790697,0.6976744186046512
阿莱克丝塔萨,alexstrasza,43,3.9302325581395348,0.23255813953488372,0.5813953488372093
死亡之翼,deathwing,43,3.9767441860465116,0.16279069767441862,0.6046511627906976
米尔菲丝·法力风暴,millificent,43,4.023255813953488,0.09302325581395349,0.5581395348837209
巫妖王,lich_king,43,4.1395348837209305,0.18604651162790697,0.5348837209302325
堕落的乔治,george,43,4.162790697674419,0.32558139534883723,0.5348837209302325
荷利戴医生,hollidae,43,4.232558139534884,0.18604651162790697,0.5116279069767442
天空上尉库拉格,kragg,43,4.255813953488372,0.13953488372093023,0.5813953488372093
鼠王,rat_king,44,4.2727272727272725,0.09090909090909091,0.5227272727272727
凯尔萨斯·逐日者,kaelthas,43,4.348837209302325,0.09302325581395349,0.5581395348837209
疯狂金字塔,pyramad,43,4.627906976744186,0.09302325581395349,0.4186046511627907
贸易亲王加里维克斯,gallywix,43,4.72093023255814,0.11627906976744186,0.46511627906976744
塔隆·血魔,teron,43,4.837209302325581,0.06976744186046512,0.4186046511627907
林地守护者欧穆,omu,43,4.883720930232558,0.09302325581395349,0.4418604651162791
帕奇维克,patchwerk,43,4.906976744186046,0.13953488372093023,0.4418604651162791
奥拉基尔,alakir,43,5.0,0.11627906976744186,0.4186046511627907
泰瑟兰·血望者,taethelan,43,5.0,0.13953488372093023,0.4186046511627907
恩佐斯,nzoth,43,5.186046511627907,0.11627906976744186,0.32558139534883723
古夫·符文图腾,guff,43,5.348837209302325,0.18604651162790697,0.3488372093023256
加拉克苏斯大王,jaraxxus,43,5.651162790697675,0.023255813953488372,0.3023255813953488
艾德温·范克里夫,edwin,43,5.674418604651163,0.06976744186046512,0.16279069767441862
舞者达瑞尔,deryl,43,5.744186046511628,0.06976744186046512,0.20930232558139536
海盗帕奇斯,patches,43,5.790697674418604,0.046511627906976744,0.23255813953488372
国王老汉,king_laohan,43,5.8604651162790695,0.023255813953488372,0.20930232558139536
