id,tribe,name,benchmark_tier,n,excluded_limited,score,ci_low,ci_high,win_rate,draw_rate,budget_70,budget_280,budget_840,board,gold,hand,suggested_trinkets,notes
pirate_attack,海盗,空中海盗跳操,T0,3600,0,0.8511111111111112,0.8415277777777778,0.8613888888888889,0.8444444444444444,0.013333333333333334,0.9195833333333333,0.87125,0.7625,海盗无赖 → 海盗无赖 → 巡游舵手 → 擎旗空中海盗 → 恐怖海盗舰长伊丽扎 → 恐怖海盗舰长伊丽扎 → 提图斯·瑞文戴尔,恐怖海盗舰长伊丽扎,无指定留手,擎旗肖像、风行者项链,无赖先手启动，擎旗给衍生亡语，伊丽扎和瑞文保护在后。
murloc_hand,鱼人,手牌合唱鱼,T0,3600,0,0.8405555555555555,0.8316666666666667,0.8493055555555555,0.8266666666666667,0.027777777777777776,0.7104166666666667,0.87125,0.94,寻宝鱼人 → 低音提琴鱼人 → 合唱鱼人 → 合唱鱼人 → 歌剧异术家 → 复仇下毒鱼人 → 提图斯·瑞文戴尔,合唱鱼人,裁脍鱼人,鱼人宝宝睡衣、鱼人语实用手册,裁脍留手而非打出；低音先死拉手牌，保护合唱与复仇核心。
mech_shield,机械,补盾亡语机械,T0,3600,0,0.8127777777777778,0.8025,0.8227777777777778,0.8013888888888889,0.02277777777777778,0.7333333333333333,0.8266666666666667,0.8783333333333333,激光机枪 → 偏折机器人 → 偏折机器人 → 量产型恐吓机 → 死神4000型 → 报废废铁回收机 → 提图斯·瑞文戴尔,提图斯·瑞文戴尔,无指定留手,布林顿的太阳镜、冰箱磁贴,亡语机械补盾，激光先破敌方盾；偏折不要全部放在最先攻击位。
wolf,野兽,狼爹召唤,T0,3600,0,0.8040277777777778,0.7952777777777778,0.8122222222222222,0.7983333333333333,0.01138888888888889,0.9429166666666666,0.8225,0.6466666666666666,巨狼戈德林 → 巨大的金刚鹦鹉 → 长鬃草原狮 → 机械木马 → 香蕉猛猿 → 熊妈妈 → 提图斯·瑞文戴尔,提图斯·瑞文戴尔,无指定留手,猛猿标签、死亡护命匣,狼爹在鹦鹉左侧，猛猿和熊妈妈后置；亡语填场需要空位。
frog,野兽,鹦鹉跳蛙,T1,3600,0,0.6769444444444445,0.6587500000000001,0.6950000000000001,0.6661111111111111,0.021666666666666667,0.7533333333333333,0.6875,0.59,跳蛙骑士 → 巨大的金刚鹦鹉 → 瘟疫鼠群 → 瘟疫鼠群 → 复生响尾蛇 → 香蕉猛猿 → 提图斯·瑞文戴尔,提图斯·瑞文戴尔,无指定留手,天灾之杖、瑞文肖像,跳蛙先送，鹦鹉在其后进击，瑞文后置；招募期用响尾蛇累积复生。
dragon_memory,龙,诗心叠盾龙,T2,3600,0,0.5718055555555556,0.5615277777777777,0.5819444444444445,0.5555555555555556,0.0325,0.5,0.5654166666666667,0.65,红衣纳迪娜 → 泰蕾苟萨 → 执念诗心龙 → 龙人执行者 → 琥珀卫士 → 珍稀增强幼龙 → 青铜守卫,执念诗心龙,无指定留手,诗心龙肖像、参训证书,泰蕾与执行者夹诗心，增强幼龙相邻高收益龙；盾层与战斗新增增益可保留。
hurt,野兽,受伤成长野兽,T2,3600,0,0.5101388888888889,0.4963888888888889,0.5241666666666667,0.49333333333333335,0.03361111111111111,0.6683333333333333,0.44875,0.41333333333333333,圆头耄耋 → 怒火飞羊 → 高贵鸽子 → 长鬃草原狮 → 哈气耄耋 → 炫彩灼天者 → 提图斯·瑞文戴尔,哈气耄耋,无指定留手,猛虎雕像、吉尔尼斯带刺玫瑰,圆头进击带动受伤链；哈气和炫彩在招募与战斗间持续成长。
dragon_battlecry,龙,卡雷战吼龙,T2,3600,0,0.5063888888888889,0.49402777777777773,0.5183333333333333,0.49944444444444447,0.013888888888888888,0.4008333333333333,0.50625,0.6120833333333333,红衣纳迪娜 → 青铜守卫 → 奥术守护者卡雷苟斯 → 奥术守护者卡雷苟斯 → 火铸唤魔师 → 布莱恩·铜须 → 达卡莱附魔师,奥术守护者卡雷苟斯,无指定留手,摇滚音乐盒、萨满祭司念珠,卡雷铜须经营，法术唤魔师补成长；战吼循环结束后换掉临时资源位。
demon_soul,恶魔,灵魂弹亡语恶魔,T2,3600,0,0.49236111111111114,0.48236111111111113,0.5026388888888889,0.4786111111111111,0.0275,0.6579166666666667,0.4891666666666667,0.33,高级灵魂杂耍师 → 火圈鬼母 → 虚空领主 → 小鬼妈妈 → 灵魂杂耍者 → 灵魂杂耍者 → 提图斯·瑞文戴尔,提图斯·瑞文戴尔,无指定留手,灵魂飞升器、灵魂剥夺器,先积累恶魔点数，再让嘲讽亡语恶魔吸火、喷子后排输出。
menagerie,混合,娜拉法术混合,T3,3600,0,0.43777777777777777,0.4248611111111111,0.45111111111111113,0.41694444444444445,0.041666666666666664,0.29083333333333333,0.47833333333333333,0.5441666666666667,洞穴多头蛇 → 死神4000型 → 青铜守卫 → 合唱鱼人 → 玛诺洛斯 → 救赎者娜拉 → 生火专家,救赎者娜拉,无指定留手,玄奥的法术书、爱心吊坠,法术供给养多族，优先狂战/盾载体；打决赛可用已养大的组件替换产法术位。
