阵容,鹦鹉跳蛙,狼爹召唤,受伤成长野兽,手牌合唱鱼,战吼烈毒鱼,诗心叠盾龙,卡雷战吼龙,磁力复制机械,补盾亡语机械,吞食商店恶魔,灵魂弹亡语恶魔,空中海盗跳操,特塞斯买卖海盗,宰割复生亡灵,永恒骑士亡灵,娜拉法术混合
鹦鹉跳蛙,,0.53125,0.425,0.3875,0.7875,0.68125,0.8416666666666667,0.7354166666666667,0.6395833333333333,0.9541666666666667,0.6333333333333333,0.41875,0.8,0.8270833333333333,0.9104166666666667,0.58125
狼爹召唤,0.46875,,0.9375,0.3875,0.8958333333333334,0.8229166666666666,0.83125,0.8916666666666667,0.54375,0.9958333333333333,0.9770833333333333,0.5479166666666667,0.89375,1.0,1.0,0.8666666666666667
受伤成长野兽,0.575,0.0625,,0.0,0.7625,0.55,0.5708333333333333,0.4,0.4041666666666667,0.93125,0.8083333333333333,0.0,0.5270833333333333,0.7625,0.8333333333333334,0.46458333333333335
手牌合唱鱼,0.6125,0.6125,1.0,,0.8854166666666666,0.98125,1.0,1.0,0.2604166666666667,1.0,0.81875,0.48333333333333334,1.0,0.9958333333333333,1.0,0.9583333333333334
战吼烈毒鱼,0.2125,0.10416666666666667,0.2375,0.11458333333333333,,0.0125,0.022916666666666665,0.4041666666666667,0.0,0.9416666666666667,0.3458333333333333,0.03958333333333333,0.7125,0.2708333333333333,0.66875,0.2375
诗心叠盾龙,0.31875,0.17708333333333334,0.45,0.01875,0.9875,,0.7229166666666667,0.95625,0.09375,1.0,0.3,0.041666666666666664,1.0,0.74375,0.9395833333333333,0.8270833333333333
卡雷战吼龙,0.15833333333333333,0.16875,0.42916666666666664,0.0,0.9770833333333333,0.27708333333333335,,0.9604166666666667,0.041666666666666664,1.0,0.20625,0.04791666666666667,0.9833333333333333,0.6520833333333333,0.8520833333333333,0.8416666666666667
磁力复制机械,0.26458333333333334,0.10833333333333334,0.6,0.0,0.5958333333333333,0.04375,0.03958333333333333,,0.025,0.9395833333333333,0.46875,0.09791666666666667,0.7791666666666667,0.4979166666666667,0.7291666666666666,0.4625
补盾亡语机械,0.36041666666666666,0.45625,0.5958333333333333,0.7395833333333334,1.0,0.90625,0.9583333333333334,0.975,,1.0,0.925,0.3875,1.0,0.9208333333333333,0.98125,0.9854166666666667
吞食商店恶魔,0.04583333333333333,0.004166666666666667,0.06875,0.0,0.058333333333333334,0.0,0.0,0.06041666666666667,0.0,,0.08125,0.010416666666666666,0.15416666666666667,0.08541666666666667,0.5604166666666667,0.0020833333333333333
灵魂弹亡语恶魔,0.36666666666666664,0.022916666666666665,0.19166666666666668,0.18125,0.6541666666666667,0.7,0.79375,0.53125,0.075,0.91875,,0.004166666666666667,0.5104166666666666,0.8958333333333334,0.925,0.6145833333333334
空中海盗跳操,0.58125,0.45208333333333334,1.0,0.5166666666666667,0.9604166666666667,0.9583333333333334,0.9520833333333333,0.9020833333333333,0.6125,0.9895833333333334,0.9958333333333333,,0.9854166666666667,0.9958333333333333,1.0,0.8645833333333334
特塞斯买卖海盗,0.2,0.10625,0.47291666666666665,0.0,0.2875,0.0,0.016666666666666666,0.22083333333333333,0.0,0.8458333333333333,0.4895833333333333,0.014583333333333334,,0.31666666666666665,0.6083333333333333,0.1375
宰割复生亡灵,0.17291666666666666,0.0,0.2375,0.004166666666666667,0.7291666666666666,0.25625,0.34791666666666665,0.5020833333333333,0.07916666666666666,0.9145833333333333,0.10416666666666667,0.004166666666666667,0.6833333333333333,,0.8479166666666667,0.42083333333333334
永恒骑士亡灵,0.08958333333333333,0.0,0.16666666666666666,0.0,0.33125,0.06041666666666667,0.14791666666666667,0.2708333333333333,0.01875,0.4395833333333333,0.075,0.0,0.39166666666666666,0.15208333333333332,,0.16875
娜拉法术混合,0.41875,0.13333333333333333,0.5354166666666667,0.041666666666666664,0.7625,0.17291666666666666,0.15833333333333333,0.5375,0.014583333333333334,0.9979166666666667,0.3854166666666667,0.13541666666666666,0.8625,0.5791666666666667,0.83125,
